id,branch,parent_ids,author,authored_at,committer,committed_at,commit_additions,commit_deletions,changed_files,is_bug_linked,is_fix_related,is_bug_fixing,is_refactoring,file_path,previous_file_path,file_additions,file_deletions,file_id
b7f39a700f02fc8507b3b8306316bc904ebb819b,master,db75037c69575bab083f122c825cfa8a3b536a49,montel,2015-08-15 06:19:05+00:00,montel,2015-08-15 06:19:05+00:00,4,4,4,False,False,False,False,src/articlemodel.cpp,src/articlemodel.cpp,1,1,adcc200e-cdd1-11ea-b55d-482ae32cf5b4
b7f39a700f02fc8507b3b8306316bc904ebb819b,master,db75037c69575bab083f122c825cfa8a3b536a49,montel,2015-08-15 06:19:05+00:00,montel,2015-08-15 06:19:05+00:00,4,4,4,False,False,False,False,src/feed.cpp,src/feed.cpp,1,1,adcc200d-cdd1-11ea-82de-482ae32cf5b4
b7f39a700f02fc8507b3b8306316bc904ebb819b,master,db75037c69575bab083f122c825cfa8a3b536a49,montel,2015-08-15 06:19:05+00:00,montel,2015-08-15 06:19:05+00:00,4,4,4,False,False,False,False,src/feedlist.cpp,src/feedlist.cpp,1,1,adcc6e1f-cdd1-11ea-9aed-482ae32cf5b4
5e12f7c23d5f110fb5e9c330ffe19e82cfc68086,master,b7f39a700f02fc8507b3b8306316bc904ebb819b,iamsergio,2015-08-15 13:16:40+00:00,iamsergio,2015-08-15 13:54:13+00:00,8,8,4,False,False,False,False,src/articleformatter.cpp,src/articleformatter.cpp,3,3,adc99739-cdd1-11ea-a9bd-482ae32cf5b4
5e12f7c23d5f110fb5e9c330ffe19e82cfc68086,master,b7f39a700f02fc8507b3b8306316bc904ebb819b,iamsergio,2015-08-15 13:16:40+00:00,iamsergio,2015-08-15 13:54:13+00:00,8,8,4,False,False,False,False,src/feed.cpp,src/feed.cpp,2,2,adcc200d-cdd1-11ea-82de-482ae32cf5b4
5e12f7c23d5f110fb5e9c330ffe19e82cfc68086,master,b7f39a700f02fc8507b3b8306316bc904ebb819b,iamsergio,2015-08-15 13:16:40+00:00,iamsergio,2015-08-15 13:54:13+00:00,8,8,4,False,False,False,False,src/feedlist.cpp,src/feedlist.cpp,1,1,adcc6e1f-cdd1-11ea-9aed-482ae32cf5b4
734ecccdc502e3cc517682373ebc118be2d63568,master,5e12f7c23d5f110fb5e9c330ffe19e82cfc68086,montel,2015-08-16 08:38:11+00:00,montel,2015-08-16 08:38:11+00:00,2,2,1,True,True,False,False,src/akregator_part.cpp,src/akregator_part.cpp,2,2,adcb0f04-cdd1-11ea-8fa5-482ae32cf5b4
54ecab5e8301f140cf8b8d2c928be7549641987a,master,ddf0d8d8599421b722025eccecbb6dc42e4ce6cd,montel,2015-08-16 12:12:44+00:00,montel,2015-08-16 12:12:44+00:00,3,3,1,False,False,False,False,src/akregator_part.cpp,src/akregator_part.cpp,3,3,adcb0f04-cdd1-11ea-8fa5-482ae32cf5b4
cb87f6260d89ecc27563890233376c90c86562a5,master,54ecab5e8301f140cf8b8d2c928be7549641987a,danvratil,2015-08-15 09:50:13+00:00,danvratil,2015-08-16 13:59:41+00:00,11,20,2,False,False,False,False,src/framemanager.cpp,src/framemanager.cpp,2,2,adc7c191-cdd1-11ea-81ee-482ae32cf5b4
cb87f6260d89ecc27563890233376c90c86562a5,master,54ecab5e8301f140cf8b8d2c928be7549641987a,danvratil,2015-08-15 09:50:13+00:00,danvratil,2015-08-16 13:59:41+00:00,11,20,2,False,False,False,False,src/mainwidget.cpp,src/mainwidget.cpp,9,18,adc6892c-cdd1-11ea-96b1-482ae32cf5b4
25d1d97969cea22de43dfbd9465714982765e34d,master,cb87f6260d89ecc27563890233376c90c86562a5,danvratil,2015-08-16 13:15:11+00:00,danvratil,2015-08-16 13:59:41+00:00,2,2,1,True,True,False,False,src/mainwidget.cpp,src/mainwidget.cpp,2,2,adc6892c-cdd1-11ea-96b1-482ae32cf5b4
9e91cd91d17728ddd18e271365916385bcbc95ed,master,25d1d97969cea22de43dfbd9465714982765e34d,krop,2015-08-16 21:32:12+00:00,krop,2015-08-16 21:32:15+00:00,1,1,1,False,False,False,False,src/akregratormigrateapplication.cpp,src/akregratormigrateapplication.cpp,1,1,adcce349-cdd1-11ea-8845-482ae32cf5b4
da57a191f688d74ad5ea2ffdafcb14a95b626e81,master,9e91cd91d17728ddd18e271365916385bcbc95ed,montel,2015-08-17 07:41:22+00:00,montel,2015-08-17 07:41:22+00:00,7,7,1,False,False,False,False,src/articlematcher.cpp,src/articlematcher.cpp,7,7,adc6b043-cdd1-11ea-8c40-482ae32cf5b4
846fa181ce56477e791716c0b36b97da9b5f96a1,master,da57a191f688d74ad5ea2ffdafcb14a95b626e81,montel,2015-08-17 08:51:03+00:00,montel,2015-08-17 08:51:03+00:00,26,26,4,False,False,False,False,src/articlelistview.cpp,src/articlelistview.cpp,2,2,adcb0eff-cdd1-11ea-9843-482ae32cf5b4
846fa181ce56477e791716c0b36b97da9b5f96a1,master,da57a191f688d74ad5ea2ffdafcb14a95b626e81,montel,2015-08-17 08:51:03+00:00,montel,2015-08-17 08:51:03+00:00,26,26,4,False,False,False,False,src/fetchqueue.cpp,src/fetchqueue.cpp,4,4,adcc6e26-cdd1-11ea-8e0c-482ae32cf5b4
846fa181ce56477e791716c0b36b97da9b5f96a1,master,da57a191f688d74ad5ea2ffdafcb14a95b626e81,montel,2015-08-17 08:51:03+00:00,montel,2015-08-17 08:51:03+00:00,26,26,4,False,False,False,False,src/mainwidget.cpp,src/mainwidget.cpp,6,6,adc6892c-cdd1-11ea-96b1-482ae32cf5b4
846fa181ce56477e791716c0b36b97da9b5f96a1,master,da57a191f688d74ad5ea2ffdafcb14a95b626e81,montel,2015-08-17 08:51:03+00:00,montel,2015-08-17 08:51:03+00:00,26,26,4,False,False,False,False,src/subscriptionlistmodel.cpp,src/subscriptionlistmodel.cpp,14,14,adcc6e23-cdd1-11ea-a619-482ae32cf5b4
064101aee84c5b4499387455787c5eaf32f4ba41,master,846fa181ce56477e791716c0b36b97da9b5f96a1,iamsergio,2015-08-17 13:05:57+00:00,iamsergio,2015-08-17 15:16:40+00:00,70,70,5,True,True,False,False,src/akregator_part.cpp,src/akregator_part.cpp,1,1,adcb0f04-cdd1-11ea-8fa5-482ae32cf5b4
064101aee84c5b4499387455787c5eaf32f4ba41,master,846fa181ce56477e791716c0b36b97da9b5f96a1,iamsergio,2015-08-17 13:05:57+00:00,iamsergio,2015-08-17 15:16:40+00:00,70,70,5,True,True,False,False,src/articleformatter.cpp,src/articleformatter.cpp,43,43,adc99739-cdd1-11ea-a9bd-482ae32cf5b4
064101aee84c5b4499387455787c5eaf32f4ba41,master,846fa181ce56477e791716c0b36b97da9b5f96a1,iamsergio,2015-08-17 13:05:57+00:00,iamsergio,2015-08-17 15:16:40+00:00,70,70,5,True,True,False,False,src/articlematcher.cpp,src/articlematcher.cpp,24,24,adc6b043-cdd1-11ea-8c40-482ae32cf5b4
064101aee84c5b4499387455787c5eaf32f4ba41,master,846fa181ce56477e791716c0b36b97da9b5f96a1,iamsergio,2015-08-17 13:05:57+00:00,iamsergio,2015-08-17 15:16:40+00:00,70,70,5,True,True,False,False,src/folder.cpp,src/folder.cpp,1,1,adcc6e21-cdd1-11ea-91ef-482ae32cf5b4
064101aee84c5b4499387455787c5eaf32f4ba41,master,846fa181ce56477e791716c0b36b97da9b5f96a1,iamsergio,2015-08-17 13:05:57+00:00,iamsergio,2015-08-17 15:16:40+00:00,70,70,5,True,True,False,False,src/notificationmanager.cpp,src/notificationmanager.cpp,1,1,adcb0efe-cdd1-11ea-9ad6-482ae32cf5b4
bd7f38921647233b4cf425afe37f415abf062399,master,a221373e781e55daa44068561176fd597230816f,krop,2015-08-17 18:43:11+00:00,krop,2015-08-17 18:43:11+00:00,4,4,1,True,True,False,False,src/akregratormigrateapplication.cpp,src/akregratormigrateapplication.cpp,4,4,adcce349-cdd1-11ea-8845-482ae32cf5b4
e0d1ceadada7069301342990f4c4a56b46f64e5c,master,bd7f38921647233b4cf425afe37f415abf062399,krop,2015-08-17 18:43:36+00:00,krop,2015-08-17 18:43:36+00:00,1,1,1,False,False,False,False,plugins/mk4storage/storagemk4impl.cpp,plugins/mk4storage/storagemk4impl.cpp,1,1,adcc9540-cdd1-11ea-a93b-482ae32cf5b4
fac5fda60d73bfa9b8bd1f36dc774db5be6959d6,master,0516ef93635eb48b5586a7959a26e0060fbd4876,vkrause,2015-08-18 17:39:06+00:00,vkrause,2015-08-18 17:39:21+00:00,6,6,3,True,True,False,False,kontactplugin/akregator_plugin.cpp,kontactplugin/akregator_plugin.cpp,2,2,adccbc4a-cdd1-11ea-be1b-482ae32cf5b4
fac5fda60d73bfa9b8bd1f36dc774db5be6959d6,master,0516ef93635eb48b5586a7959a26e0060fbd4876,vkrause,2015-08-18 17:39:06+00:00,vkrause,2015-08-18 17:39:21+00:00,6,6,3,True,True,False,False,src/main.cpp,src/main.cpp,3,3,adcae7c7-cdd1-11ea-9fbc-482ae32cf5b4
